No,Kanji,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,CorrectLetter
190,今六時です,What is the reading and meaning of this kanji?,いま — now,ろく — six,なんじですか — What time is it?,いまろくじです — it's six o'clock now,いまろくじです — it's six o'clock now,D
191,何,What is the reading and meaning of this kanji?,なに / なん — what,なんじ — what time,なんじですか — What time is it?,なにをのみますか — What will you drink?,なに / なん — what,A
192,何をのみますか,What is the reading and meaning of this kanji?,なんじ — what time,なんじですか — What time is it?,なに / なん — what,なにをのみますか — What will you drink?,なにをのみますか — What will you drink?,D
193,何時ですか,What is the reading and meaning of this kanji?,いまろくじです — it's six o'clock now,なんじ — what time,なにをのみますか — What will you drink?,なんじですか — What time is it?,なんじですか — What time is it?,D
194,午,What is the reading and meaning of this kanji?,ご — noon / horse (zodiac),うまどし — Year of the Horse,ごぜんよじ — 4 AM,ごぜん — morning / AM,ご — noon / horse (zodiac),A
195,午前四時,What is the reading and meaning of this kanji?,ごぜんよじ — 4 AM,なんじ — what time,ごぜん — morning / AM,ご — noon / horse (zodiac),ごぜんよじ — 4 AM,A
196,午年,What is the reading and meaning of this kanji?,うまどし — Year of the Horse,ことし — this year,はんとし — half a year,とし / ねん — year,うまどし — Year of the Horse,A
197,前,What is the reading and meaning of this kanji?,まえ — before / in front,ごぜん — morning / AM,なまえをいいます — to say one's name,ごぜんよじ — 4 AM,まえ — before / in front,A
199,山,What is the reading and meaning of this kanji?,かざん — volcano,やましたさんのこ — Mr./Ms. Yamashita's child,たかいやま — tall mountain,やま — mountain,やま — mountain,D
200,富士山,What is the reading and meaning of this kanji?,ふじさん — Mt. Fuji,かざん — volcano,やま — mountain,やましたさんのこ — Mr./Ms. Yamashita's child,ふじさん — Mt. Fuji,A
201,高い山,What is the reading and meaning of this kanji?,たかいやま — tall mountain,やま — mountain,"たかぎ — tall tree / surname ""Takagi""",たかいビル — tall building,たかいやま — tall mountain,A
202,雨,What is the reading and meaning of this kanji?,あめ — rain,おおあめ — heavy rain,あめがふります — it rains,うてん — rainy weather,あめ — rain,A
203,雨がふります,What is the reading and meaning of this kanji?,あめ — rain,あめがふります — it rains,おおあめ — heavy rain,うてん — rainy weather,あめがふります — it rains,B
204,大雨,What is the reading and meaning of this kanji?,おとな — adult,あめ — rain,おおじょし — tall/big woman,おおあめ — heavy rain,おおあめ — heavy rain,D
205,空,What is the reading and meaning of this kanji?,くうき — air,おおきいそら — big/vast sky,そと — outside,そら — sky,そら — sky,D
206,空気,What is the reading and meaning of this kanji?,てんき — weather,くうき — air,きもち — feeling,き — spirit / feeling,くうき — air,B
207,大きい空,What is the reading and meaning of this kanji?,おおきいそら — big/vast sky,おおきいこえ — loud voice,おおきいくち — big mouth,からだがおおきいです — the body is big,おおきいそら — big/vast sky,A
208,気,What is the reading and meaning of this kanji?,きもち — feeling,てんき — weather,くうき — air,き — spirit / feeling,き — spirit / feeling,D
209,気もち,What is the reading and meaning of this kanji?,てんき — weather,くうき — air,きもち — feeling,き — spirit / feeling,きもち — feeling,C
210,天,What is the reading and meaning of this kanji?,てんき — weather,うてん — rainy weather,て — hand,てん — sky / heaven,てん — sky / heaven,D
211,天気,What is the reading and meaning of this kanji?,てんき — weather,き — spirit / feeling,うてん — rainy weather,てん — sky / heaven,てんき — weather,A
212,雨天,What is the reading and meaning of this kanji?,てんき — weather,てん — sky / heaven,あめ — rain,うてん — rainy weather,うてん — rainy weather,D
213,花,What is the reading and meaning of this kanji?,はなみ — flower viewing,はな — flower,あかいはな — red flower,はは — mother (own),はな — flower,B
214,赤い花,What is the reading and meaning of this kanji?,あかいはな — red flower,はなみ — flower viewing,かいもの — shopping,はな — flower,あかいはな — red flower,A
215,花見,What is the reading and meaning of this kanji?,けん / み — see / look,はなみ — flower viewing,あかいはな — red flower,はな — flower,はなみ — flower viewing,B
216,魚,What is the reading and meaning of this kanji?,あかいはな — red flower,さかな — fish,さかなをたべます — I eat fish,きんぎょ — goldfish,さかな — fish,B
217,金魚,What is the reading and meaning of this kanji?,きんようび — Friday,きん / かね — gold / money,さかな — fish,きんぎょ — goldfish,きんぎょ — goldfish,D
218,本,What is the reading and meaning of this kanji?,よんほん — four (long objects),ほん — book,にほん — two (long objects),ふるほん — used/old book,ほん — book,B
219,本を読みます,What is the reading and meaning of this kanji?,にほん — two (long objects),ほんをよみます — I read a book,にほんごをはなします — I speak Japanese,ほん — book,ほんをよみます — I read a book,B
220,本だな,What is the reading and meaning of this kanji?,ほん — book,にほん — two (long objects),ふるほん — used/old book,ほんだな — bookshelf,ほんだな — bookshelf,D
221,語,What is the reading and meaning of this kanji?,にほんご — Japanese language,スペインご — Spanish language,げんご — language,ご — language / word,ご — language / word,D
222,二本,What is the reading and meaning of this kanji?,にふん — two minutes,にほんご — Japanese language,ほん — book,にほん — two (long objects),にほん — two (long objects),D
223,日本語,What is the reading and meaning of this kanji?,にほんじん — Japanese person,ひがしにほん — Eastern Japan,にほんごをはなします — I speak Japanese,にほんご — Japanese language,にほんご — Japanese language,D
224,スペイン語,What is the reading and meaning of this kanji?,げんご — language,スペインご — Spanish language,ご — language / word,にほんご — Japanese language,スペインご — Spanish language,B
225,国,What is the reading and meaning of this kanji?,きこく — returning to one's country,くに — country,こくりつ — national (institution),おなじくに — the same country,くに — country,B
226,外国人,What is the reading and meaning of this kanji?,こくりつ — national (institution),きこく — returning to one's country,がいこくじん — foreigner,がいこく — foreign country,がいこくじん — foreigner,C
227,国へかえります,What is the reading and meaning of this kanji?,くに — country,おなじくに — the same country,くにへかえります — to return to one's country,こくりつ — national (institution),くにへかえります — to return to one's country,C
228,多,What is the reading and meaning of this kanji?,ただい — great / immense,た — many / much,おおいひと — many people,た — many,た — many / much,B
229,多い人,What is the reading and meaning of this kanji?,おおいひと — many people,くるまがおおい — there are many cars,ひとり — one person / alone,ひと — person,おおいひと — many people,A
230,午前,What is the reading and meaning of this kanji?,まえ — before / in front,ご — noon / horse (zodiac),ごぜんよじ — 4 AM,ごぜん — morning / AM,ごぜん — morning / AM,D
231,同,What is the reading and meaning of this kanji?,どう — same,どく — read,どようび — Saturday,おなじくに — the same country,どう — same,A
232,同じ国,What is the reading and meaning of this kanji?,おなじくに — the same country,くに — country,きこく — returning to one's country,がいこく — foreign country,おなじくに — the same country,A
233,白,What is the reading and meaning of this kanji?,あし — foot / leg,した — below / under,しろいシャツ — white shirt,しろ — white,しろ — white,D
234,白いシャツ,What is the reading and meaning of this kanji?,したしいもの — familiar thing,しろ — white,しろいシャツ — white shirt,おもしろいはなし — interesting story,しろいシャツ — white shirt,C
235,物,What is the reading and meaning of this kanji?,のみもの — drink / beverage,たべもの — food,もの — thing,かいもの — shopping,もの — thing,C
236,親しい物,What is the reading and meaning of this kanji?,かいもの — shopping,たべもの — food,したしいもの — familiar thing,もの — thing,したしいもの — familiar thing,C
237,くだ物,What is the reading and meaning of this kanji?,もの — thing,のみもの — drink / beverage,たべもの — food,くだもの — fruit (果物),くだもの — fruit (果物),D
238,大,What is the reading and meaning of this kanji?,だいがく — university,たいしかん — embassy,だい — big / large,ただい — great / immense,だい — big / large,C
239,大学,What is the reading and meaning of this kanji?,がく — study / learning,ただい — great / immense,だい — big / large,だいがく — university,だいがく — university,D
240,大きい声,What is the reading and meaning of this kanji?,おおきいそら — big/vast sky,からだがおおきいです — the body is big,おおきいくち — big mouth,おおきいこえ — loud voice,おおきいこえ — loud voice,D
241,大人,What is the reading and meaning of this kanji?,おとこのひと — man,おおいひと — many people,おとな — adult,ひと — person,おとな — adult,C
242,大使館,What is the reading and meaning of this kanji?,たいしかん — embassy,だい — big / large,ただい — great / immense,だいがく — university,たいしかん — embassy,A
243,小,What is the reading and meaning of this kanji?,しょう — small,ちいさいえき — small station,ちいさいからだ — small body,しょうがっこう — elementary school,しょう — small,A
244,小学校,What is the reading and meaning of this kanji?,こうこう — high school,しょうがっこう — elementary school,しょう — small,がっこう — school,しょうがっこう — elementary school,B
245,小さい駅,What is the reading and meaning of this kanji?,えきのかいさつぐち — station ticket gate,しょう — small,ちいさいえき — small station,ちいさいからだ — small body,ちいさいえき — small station,C
246,多,What is the reading and meaning of this kanji?,た — many / much,た — many,ただい — great / immense,おおいひと — many people,た — many,B
247,車が多い,What is the reading and meaning of this kanji?,やすいくるま — cheap car,おおいひと — many people,くるまがおおい — there are many cars,くるまのなか — inside the car,くるまがおおい — there are many cars,C
248,多大,What is the reading and meaning of this kanji?,た — many / much,だい — big / large,た — many,ただい — great / immense,ただい — great / immense,D
249,少,What is the reading and meaning of this kanji?,しょう — small,ひとがすくない — there are few people,じかんがすこしあります — there's a little time,しょう — few / little,しょう — few / little,D
250,人が少ない,What is the reading and meaning of this kanji?,ひとがすくない — there are few people,ひと — person,ひとがおおい — many people,おとな — adult,ひとがすくない — there are few people,A
251,時間が少しあります,What is the reading and meaning of this kanji?,じかんがすこしあります — there's a little time,じかん — time / hour,なんじですか — What time is it?,じかん — time,じかんがすこしあります — there's a little time,A
252,親,What is the reading and meaning of this kanji?,おや — parent,しんせつなひと — kind person,やま — mountain,したしいもの — familiar thing,おや — parent,A
253,親切な人,What is the reading and meaning of this kanji?,ひとり — one person / alone,ひと — person,しんせつなひと — kind person,おおいひと — many people,しんせつなひと — kind person,C
254,古,What is the reading and meaning of this kanji?,ふるいパソコン — old computer,こ / ふる — old,ふるさと — hometown,ふるほん — used/old book,こ / ふる — old,B
255,古いパソコン,What is the reading and meaning of this kanji?,こ / ふる — old,ふるさと — hometown,ふるほん — used/old book,ふるいパソコン — old computer,ふるいパソコン — old computer,D
256,古本,What is the reading and meaning of this kanji?,こ / ふる — old,ふるほん — used/old book,にほん — two (long objects),ほん — book,ふるほん — used/old book,B
257,古里,What is the reading and meaning of this kanji?,ふるさと — hometown,ふるほん — used/old book,こ / ふる — old,ふるいパソコン — old computer,ふるさと — hometown,A
258,高校,What is the reading and meaning of this kanji?,こう / たか — high / tall,こうこう — high school,こうちょう — school principal,こうこうせい — high school student,こうこう — high school,B
259,高,What is the reading and meaning of this kanji?,こう / たか — high / tall,こうこう — high school,たかいやま — tall mountain,"たかぎ — tall tree / surname ""Takagi""",こう / たか — high / tall,A
260,高いビル,What is the reading and meaning of this kanji?,たかいやま — tall mountain,"たかぎ — tall tree / surname ""Takagi""",たかいビル — tall building,こう / たか — high / tall,たかいビル — tall building,C
261,高校生,What is the reading and meaning of this kanji?,こうこう — high school,こうちょう — school principal,せい — life / birth / student,こうこうせい — high school student,こうこうせい — high school student,D
262,安,What is the reading and meaning of this kanji?,へいあん — peace,あんぜん — safety,あん — cheap / peace,やすいくるま — cheap car,あん — cheap / peace,C
263,安い車,What is the reading and meaning of this kanji?,へいあん — peace,やすいくるま — cheap car,くるまのなか — inside the car,くるまがおおい — there are many cars,やすいくるま — cheap car,B
264,安全,What is the reading and meaning of this kanji?,あん — cheap / peace,へいあん — peace,やすいくるま — cheap car,あんぜん — safety,あんぜん — safety,D
265,平安,What is the reading and meaning of this kanji?,やすいくるま — cheap car,へいあん — peace,あんぜん — safety,あん — cheap / peace,へいあん — peace,B
266,長,What is the reading and meaning of this kanji?,あしがながいです — the legs are long,ながい — long,こうちょう — school principal,ちょう — long / chief,ちょう — long / chief,D
267,校長,What is the reading and meaning of this kanji?,こうこう — high school,こうちょう — school principal,がっこう — school,ちょう — long / chief,こうちょう — school principal,B
268,長い,What is the reading and meaning of this kanji?,こうちょう — school principal,ちょう — long / chief,あしがながいです — the legs are long,ながい — long,ながい — long,D
269,近,What is the reading and meaning of this kanji?,ちかいみせ — nearby store,きん / かね — gold / money,ちか — near,きん / ちか — near,きん / ちか — near,D
270,近い店,What is the reading and meaning of this kanji?,ちかいみせ — nearby store,きん / ちか — near,かいもの — shopping,ちか — near,ちかいみせ — nearby store,A
271,近,What is the reading and meaning of this kanji?,ちかいみせ — nearby store,つち — soil / earth,ちか — near,きん / ちか — near,ちか — near,C
272,女子,What is the reading and meaning of this kanji?,じょしから — from the girls,おおじょし — tall/big woman,じょし — girl,じょし — girl / female,じょし — girl,C
273,大女子,What is the reading and meaning of this kanji?,じょし — girl,じょし — girl / female,おおじょし — tall/big woman,じょしから — from the girls,おおじょし — tall/big woman,C
274,女子から,What is the reading and meaning of this kanji?,じょし — girl / female,おおじょし — tall/big woman,じょし — girl,じょしから — from the girls,じょしから — from the girls,D
275,行,What is the reading and meaning of this kanji?,あるいていく — to go on foot,ぎんこう — bank,こう / い / ぎょう — go / line,さきにいきます — I'll go ahead,こう / い / ぎょう — go / line,C
276,銀行,What is the reading and meaning of this kanji?,こう / い / ぎょう — go / line,さきにいきます — I'll go ahead,ぎんこう — bank,あるいていく — to go on foot,ぎんこう — bank,C
277,会社へ行きます,What is the reading and meaning of this kanji?,さきにいきます — I'll go ahead,あるいていく — to go on foot,こう / い / ぎょう — go / line,かいしゃへいきます — I go to the company,かいしゃへいきます — I go to the company,D
278,歩いて行く,What is the reading and meaning of this kanji?,さきにいきます — I'll go ahead,かいしゃへいきます — I go to the company,こう / い / ぎょう — go / line,あるいていく — to go on foot,あるいていく — to go on foot,D
279,来,What is the reading and meaning of this kanji?,らい / く — come,きます — to come,らいしゅう — next week,らいねん — next year,らい / く — come,A
280,来週,What is the reading and meaning of this kanji?,まいしゅう — every week,しゅう — week,こんしゅう — this week,らいしゅう — next week,らいしゅう — next week,D
281,来ます,What is the reading and meaning of this kanji?,らいねん — next year,きます — to come,らいしゅう — next week,らい / く — come,きます — to come,B
282,帰,What is the reading and meaning of this kanji?,きこく — returning to one's country,き — return,き — spirit / feeling,き — tree,き — return,B
283,帰国,What is the reading and meaning of this kanji?,きこく — returning to one's country,こくりつ — national (institution),がいこく — foreign country,き — return,きこく — returning to one's country,A
284,食,What is the reading and meaning of this kanji?,たべもの — food,さかなをたべます — I eat fish,しょくじをします — to have a meal,しょく — eat / food,しょく — eat / food,D
285,食事をします,What is the reading and meaning of this kanji?,しょくじをします — to have a meal,しょく — eat / food,さかなをたべます — I eat fish,たべもの — food,しょくじをします — to have a meal,A
286,魚を食べます,What is the reading and meaning of this kanji?,さかなをたべます — I eat fish,しょくじをします — to have a meal,さかな — fish,たべもの — food,さかなをたべます — I eat fish,A
287,食べ物,What is the reading and meaning of this kanji?,かいもの — shopping,たべもの — food,したしいもの — familiar thing,もの — thing,たべもの — food,B
288,飲,What is the reading and meaning of this kanji?,のみもの — drink / beverage,げん / い — say / word,のみます — to drink,いん / の — drink,いん / の — drink,D
289,飲み物,What is the reading and meaning of this kanji?,のみます — to drink,のみもの — drink / beverage,もの — thing,くだもの — fruit (果物),のみもの — drink / beverage,B
290,飲みます,What is the reading and meaning of this kanji?,のみもの — drink / beverage,いん / の — drink,なにをのみますか — What will you drink?,のみます — to drink,のみます — to drink,D
291,買,What is the reading and meaning of this kanji?,ばい — buy,いち — one,かいもの — shopping,かばんをかいます — I buy a bag,ばい — buy,A
292,かばんを買います,What is the reading and meaning of this kanji?,かいもの — shopping,てをあらいます — to wash one's hands,ばい — buy,かばんをかいます — I buy a bag,かばんをかいます — I buy a bag,D
293,買い物,What is the reading and meaning of this kanji?,かいもの — shopping,したしいもの — familiar thing,たべもの — food,もの — thing,かいもの — shopping,A
294,六,What is the reading and meaning of this kanji?,ろくねん — six years,ろく — six,ろくさい — six years old,いまろくじです — it's six o'clock now,ろく — six,B
295,六才,What is the reading and meaning of this kanji?,ろくねん — six years,ろくさい — six years old,ろく — six,いまろくじです — it's six o'clock now,ろくさい — six years old,B
296,国立,What is the reading and meaning of this kanji?,くに — country,がいこく — foreign country,きこく — returning to one's country,こくりつ — national (institution),こくりつ — national (institution),D
297,休,What is the reading and meaning of this kanji?,きゅうじつ — holiday / day off,きゅう — rest,やすみのあいだ — during the break,やすむ — to rest,きゅう — rest,B
298,休む,What is the reading and meaning of this kanji?,きゅうじつ — holiday / day off,やすむ — to rest,きゅう — rest,やすみのあいだ — during the break,やすむ — to rest,B
299,休日,What is the reading and meaning of this kanji?,きゅう — rest,きゅうじつ — holiday / day off,ようか — the 8th / eight days,きょう — today,きゅうじつ — holiday / day off,B
300,言,What is the reading and meaning of this kanji?,けん / み — see / look,げん / い — say / word,げんご — language,なまえをいいます — to say one's name,げん / い — say / word,B
301,名前を言います,What is the reading and meaning of this kanji?,まえ — before / in front,げん / い — say / word,げんご — language,なまえをいいます — to say one's name,なまえをいいます — to say one's name,D
302,言語,What is the reading and meaning of this kanji?,げん / い — say / word,にほんご — Japanese language,げんご — language,ご — language / word,げんご — language,C
303,電話,What is the reading and meaning of this kanji?,せん — thousand,でんわ — telephone,おもしろいはなし — interesting story,にほんごをはなします — I speak Japanese,でんわ — telephone,B
304,日本語を話します,What is the reading and meaning of this kanji?,にほんでうまれました — I was born in Japan,にほんじん — Japanese person,にほんご — Japanese language,にほんごをはなします — I speak Japanese,にほんごをはなします — I speak Japanese,D
305,おもしろい話,What is the reading and meaning of this kanji?,にほんごをはなします — I speak Japanese,でんわ — telephone,あかいはな — red flower,おもしろいはなし — interesting story,おもしろいはなし — interesting story,D
306,書,What is the reading and meaning of this kanji?,てがみをかきます — I write a letter,きょうかしょ — textbook,どくしょ — reading (books),しょ — write / document,しょ — write / document,D
307,教科書,What is the reading and meaning of this kanji?,しょ — write / document,きょうかしょ — textbook,てがみをかきます — I write a letter,どくしょ — reading (books),きょうかしょ — textbook,B
308,手紙を書きます,What is the reading and meaning of this kanji?,てをあけます — to free up one's hands,てをあらいます — to wash one's hands,てがみ — letter (手紙),てがみをかきます — I write a letter,てがみをかきます — I write a letter,D
309,読,What is the reading and meaning of this kanji?,ほんをよみます — I read a book,どくしょ — reading (books),がく — study / learning,どく — read,どく — read,D
310,読書,What is the reading and meaning of this kanji?,どくしょ — reading (books),しょ — write / document,どく — read,きょうかしょ — textbook,どくしょ — reading (books),A
311,本を読みます,What is the reading and meaning of this kanji?,にほんごをはなします — I speak Japanese,ほんをよみます — I read a book,ほん — book,にほん — two (long objects),ほんをよみます — I read a book,B
312,聞,What is the reading and meaning of this kanji?,げん / い — say / word,ぶん / き — hear / listen / ask,ラジオをききます — I listen to the radio,しんぶん — newspaper,ぶん / き — hear / listen / ask,B
313,新聞,What is the reading and meaning of this kanji?,ラジオをききます — I listen to the radio,ぶん / き — hear / listen / ask,しんぶん — newspaper,はんぶん — half,しんぶん — newspaper,C
314,ラジオを聞きます,What is the reading and meaning of this kanji?,しんぶん — newspaper,てがみをかきます — I write a letter,ぶん / き — hear / listen / ask,ラジオをききます — I listen to the radio,ラジオをききます — I listen to the radio,D
315,見,What is the reading and meaning of this kanji?,けん / み — see / look,つきをみる — to look at the moon,けんがく — study tour / field trip,はなみ — flower viewing,けん / み — see / look,A
316,見学,What is the reading and meaning of this kanji?,けん / み — see / look,けんがく — study tour / field trip,がく — study / learning,だいがく — university,けんがく — study tour / field trip,B
317,映画を見ます,What is the reading and meaning of this kanji?,つきをみる — to look at the moon,はなみ — flower viewing,えいがをみます — I watch a movie,けん / み — see / look,えいがをみます — I watch a movie,C
318,入,What is the reading and meaning of this kanji?,いれる — to put in / insert,はいる — to enter,にゅう — enter,いりぐち — entrance,にゅう — enter,C
319,入る,What is the reading and meaning of this kanji?,にゅう — enter,いりぐち — entrance,いれる — to put in / insert,はいる — to enter,はいる — to enter,D
320,入れる,What is the reading and meaning of this kanji?,いれる — to put in / insert,いりぐち — entrance,にゅう — enter,はいる — to enter,いれる — to put in / insert,A
321,入口,What is the reading and meaning of this kanji?,でぐち — exit,くち — mouth,にしぐち — west exit/entrance,いりぐち — entrance,いりぐち — entrance,D
322,出,What is the reading and meaning of this kanji?,でぐち — exit,でかける — to go out,しゅつ — exit / go out,へやのそとへでます — to go outside the room,しゅつ — exit / go out,C
323,出かける,What is the reading and meaning of this kanji?,でぐち — exit,しゅつ — exit / go out,へやのそとへでます — to go outside the room,でかける — to go out,でかける — to go out,D
