No,Kanji,Hiragana,Meaning,Easy,Medium,Hard
163,西,にし,west,西です。(It's the west.),西に進みます。(I proceed west.),"西に進みますから、地図を見せてください。(I'll proceed west, so please show me the map.)"
164,西口,にしぐち,west exit/entrance,西口です。(It's the west exit.),西口で待ちます。(I'll wait at the west exit.),"西口で待ちますから、東口へ行かないでください。(I'll wait at the west exit, so please don't go to the east exit.)"
165,南,みなみ,south,南です。(It's the south.),南に進みます。(I proceed south.),"南に進みますから、暖かくなります。(I'll proceed south, so it will get warmer.)"
166,南アメリカ,みなみアメリカ,South America,南アメリカです。(It's South America.),南アメリカへ行きます。(I'll go to South America.),"南アメリカへ行きますから、スペイン語を勉強します。(I'll go to South America, so I'll study Spanish.)"
167,南口,みなみぐち,south exit/entrance,南口です。(It's the south exit.),南口で待ちます。(I'll wait at the south exit.),"南口で待ちますから、南口の前に来てください。(I'll wait at the south exit, so please come in front of the south exit.)"
168,北,きた,north,北です。(It's the north.),北に進みます。(I proceed north.),"北に進みますから、寒くなります。(I'll proceed north, so it will get cold.)"
169,北ヨーロッパ,きたヨーロッパ,Northern Europe,北ヨーロッパです。(It's Northern Europe.),北ヨーロッパは寒いです。(Northern Europe is cold.),"北ヨーロッパは寒いですから、冬に行きません。(Northern Europe is cold, so I won't go in winter.)"
170,時,とき,time / when,時です。(It's time.),"子供の時、よく遊びました。(When I was a child, I played a lot.)","子供の時、よく遊びましたから、いい思い出です。(When I was a child, I played a lot, so it's a good memory.)"
171,七時 [?],しちじ,seven o'clock,七時です。(It's seven o'clock.),七時に起きます。(I wake up at seven.),"七時に起きますから、六時半に目覚めます。(I wake up at seven, so I stir around 6:30.)"
172,時間,じかん,time / hour,時間です。(It's time.),時間がありません。(I don't have time.),"時間がありませんから、急いでください。(I don't have time, so please hurry.)"
173,子どもの時,こどものとき,when I was a child,子どもの時です。(It's when I was a child.),子どもの時、楽しかったです。(It was fun when I was a child.),"子どもの時、楽しかったですから、今も覚えています。(It was fun when I was a child, so I still remember it now.)"
174,何時,なんじ,what time,何時ですか。(What time is it?),何時に来ますか。(What time will you come?),何時に来ますか、教えてください。(What time will you come? Please tell me.)
175,間,あいだ,between / interval,間です。(There's an interval.),二つの間にあります。(It's between the two.),"二つの間にありますから、見つけやすいです。(It's between the two, so it's easy to find.)"
176,時間,じかん,time (dup. of #172),時間です。(It's time.),勉強する時間が必要です。(I need time to study.),"勉強する時間が必要ですから、テレビを見ません。(I need time to study, so I won't watch TV.)"
177,一週間,いっしゅうかん,one week (dup. of #26),一週間です。(It's one week.),一週間、日本にいます。(I'll be in Japan for one week.),"一週間日本にいますから、たくさん写真を撮ります。(I'll be in Japan for one week, so I'll take many photos.)"
178,休みの間,やすみのあいだ,during the break,休みの間です。(It's during the break.),休みの間に旅行しました。(I traveled during the break.),"休みの間に旅行しましたから、写真がたくさんあります。(I traveled during the break, so I have many photos.)"
179,分,ふん / ぶん,minute / part,分です。(It's a minute.),五分待ちます。(I'll wait five minutes.),"五分待ちますから、急がなくてもいいです。(I'll wait five minutes, so you don't need to hurry.)"
180,二分,にふん,two minutes,二分です。(It's two minutes.),二分待ちます。(I'll wait two minutes.),"二分待ちますから、すぐ戻ってきてください。(I'll wait two minutes, so please come back soon.)"
181,一時二分,いちじにふん,1:02,一時二分です。(It's 1:02.),一時二分に着きました。(I arrived at 1:02.),"一時二分に着きましたから、少し早かったです。(I arrived at 1:02, so it was a little early.)"
182,半,はん,half,半分です。(It's half.),三時半に会います。(I'll meet at 3:30.),"三時半に会いますから、三時に家を出ます。(I'll meet at 3:30, so I'll leave home at three.)"
183,八時半,はちじはん,8:30,八時半です。(It's 8:30.),八時半に起きます。(I wake up at 8:30.),"八時半に起きますから、九時に朝ご飯を食べます。(I wake up at 8:30, so I eat breakfast at nine.)"
184,半年,はんとし,half a year,半年です。(It's half a year.),半年、勉強しました。(I studied for half a year.),"半年勉強しましたから、少し上手になりました。(I studied for half a year, so I got a bit better.)"
185,半日,はんにち,half a day,半日です。(It's half a day.),半日休みます。(I'll take half a day off.),"半日休みますから、午後は家にいます。(I'll take half a day off, so I'll be home in the afternoon.)"
186,半分,はんぶん,half,半分です。(It's half.),半分食べます。(I eat half.),"ケーキを半分食べますから、半分は明日食べます。(I'll eat half the cake, so I'll eat the other half tomorrow.)"
187,今,いま,now,今です。(It's now.),今、忙しいです。(I'm busy right now.),"今忙しいですから、後で電話します。(I'm busy right now, so I'll call later.)"
188,今週,こんしゅう,this week (dup. of #23),今週です。(It's this week.),今週、休みます。(I'll rest this week.),"今週は雨が多いですから、家にいます。(This week has a lot of rain, so I'll stay home.)"
189,今日,きょう,today,今日です。(It's today.),今日は晴れです。(Today is sunny.),"今日は晴れですから、公園へ行きましょう。(Today is sunny, so let's go to the park.)"
190,今六時です,いまろくじです,it's six o'clock now,今六時です。(It's six now.),"今六時ですから、急ぎます。(It's six now, so I'll hurry.)","今六時ですから、そろそろ帰りましょう。(It's six now, so let's head home soon.)"
191,何,なに / なん,what,何ですか。(What is it?),何を食べますか。(What will you eat?),何を食べますか、決めてください。(What will you eat? Please decide.)
192,何をのみますか,なにをのみますか,What will you drink?,何をのみますか。(What will you drink?),会議の後、何をのみますか。(What will you drink after the meeting?),会議の後、何をのみますか、店を探しましょう。(What will you drink after the meeting? Let's find a shop.)
193,何時ですか,なんじですか,What time is it?,今、何時ですか。(What time is it now?),会議は何時ですか。(What time is the meeting?),会議は何時ですか、確認してください。(What time is the meeting? Please check.)
194,午,ご,noon / horse (zodiac),午です。(It's noon / horse.),正午に会います。(I'll meet at noon.),"正午に会いますから、レストランを予約します。(I'll meet at noon, so I'll reserve a restaurant.)"
195,午前四時,ごぜんよじ,4 AM,午前四時です。(It's 4 AM.),午前四時に起きます。(I wake up at 4 AM.),"午前四時に起きますから、夜早く寝ます。(I wake up at 4 AM, so I go to bed early at night.)"
196,午年,うまどし,Year of the Horse,午年です。(It's the Year of the Horse.),私は午年です。(I was born in the Year of the Horse.),"私は午年ですから、馬が好きです。(I was born in the Year of the Horse, so I like horses.)"
197,前,まえ,before / in front,前です。(It's before.),駅の前にいます。(I'm in front of the station.),"駅の前にいますから、そこで会いましょう。(I'm in front of the station, so let's meet there.)"
199,山,やま,mountain,山です。(It's a mountain.),山が高いです。(The mountain is tall.),"山が高いですから、上るのに時間がかかります。(The mountain is tall, so it takes time to climb.)"
200,富士山 [?],ふじさん,Mt. Fuji,富士山です。(It's Mt. Fuji.),富士山は高いです。(Mt. Fuji is tall.),"富士山は高いですから、上るのが大変です。(Mt. Fuji is tall, so it's hard to climb.)"
201,高い山,たかいやま,tall mountain,高い山です。(It's a tall mountain.),あれは高い山です。(That is a tall mountain.),"あれは高い山ですから、上りません。(That is a tall mountain, so I won't climb it.)"
202,雨,あめ,rain,雨です。(It's rain.),雨が降ります。(It rains.),"雨が降りますから、傘を持っていきます。(It rains, so I'll bring an umbrella.)"
203,雨がふります,あめがふります,it rains,雨がふります。(It rains.),明日、雨がふります。(It will rain tomorrow.),"明日雨がふりますから、傘を用意してください。(It will rain tomorrow, so please prepare an umbrella.)"
204,大雨,おおあめ,heavy rain,大雨です。(It's heavy rain.),大雨が降ります。(Heavy rain falls.),"大雨が降りますから、外に出ないでください。(Heavy rain will fall, so please don't go outside.)"
205,空,そら,sky,空です。(It's the sky.),空が青いです。(The sky is blue.),"空が青いですから、公園へ行きましょう。(The sky is blue, so let's go to the park.)"
206,空気,くうき,air,空気です。(It's air.),空気がきれいです。(The air is clean.),"山の空気がきれいですから、深呼吸します。(The mountain air is clean, so I take a deep breath.)"
207,大きい空 [?],おおきいそら,big/vast sky,大きい空です。(It's a big sky.),大きい空が見えます。(I can see a vast sky.),"田舎では大きい空が見えますから、気持ちいいです。(In the countryside, you can see a vast sky, so it feels good.)"
208,気,き,spirit / feeling,気をつけます。(I'll be careful.),元気ですか。(Are you well?),元気ですか、久しぶりですね。(Are you well? It's been a while.)
209,気もち,きもち,feeling,気もちです。(It's a feeling.),いい気もちになります。(I feel good.),"いい気もちになりますから、散歩が好きです。(I feel good, so I like walking.)"
210,天,てん,sky / heaven,天です。(It's the sky.),天を見ます。(I look at the sky.),"天を見ますから、少し止まってください。(I'll look at the sky, so please stop for a moment.)"
211,天気,てんき,weather,天気です。(It's the weather.),天気がいいです。(The weather is good.),"天気がいいですから、洗濯をします。(The weather is good, so I'll do laundry.)"
212,雨天,うてん,rainy weather,雨天です。(It's rainy weather.),雨天でも行きます。(I'll go even in rain.),"雨天でも行きますから、傘を持ってください。(I'll go even in rain, so please bring an umbrella.)"
213,花,はな,flower,花です。(It's a flower.),花がきれいです。(The flower is pretty.),"花がきれいですから、写真を撮ります。(The flower is pretty, so I'll take a photo.)"
214,赤い花,あかいはな,red flower,赤い花です。(It's a red flower.),赤い花が好きです。(I like red flowers.),"赤い花が好きですから、庭にたくさん植えます。(I like red flowers, so I plant many in the garden.)"
215,花見,はなみ,flower viewing,花見です。(It's flower viewing.),花見に行きます。(I'll go flower viewing.),"花見に行きますから、お弁当を作ります。(I'll go flower viewing, so I'll make a lunch box.)"
216,魚,さかな,fish,魚です。(It's fish.),魚を食べます。(I eat fish.),"魚を食べますから、お箸を使います。(I eat fish, so I use chopsticks.)"
217,金魚,きんぎょ,goldfish,金魚です。(It's a goldfish.),金魚がいます。(There's a goldfish.),"金魚がいますから、毎日えさをあげます。(There's a goldfish, so I feed it every day.)"
218,本,ほん,book,本です。(It's a book.),本を読みます。(I read a book.),"本を読みますから、静かにしてください。(I'm reading a book, so please be quiet.)"
219,本を読みます,ほんをよみます,I read a book (dup. of #218),本を読みます。(I read a book.),毎晩、本を読みます。(I read a book every night.),"毎晩本を読みますから、日本語が上手になりました。(I read a book every night, so I became good at Japanese.)"
220,本だな,ほんだな,bookshelf,本だなです。(It's a bookshelf.),本だながあります。(There's a bookshelf.),"本だなに本がたくさんありますから、片付けます。(There are many books on the bookshelf, so I'll tidy up.)"
221,語,ご,language / word,語です。(It's a word.),日本語です。(It's Japanese.),"日本語ですから、少し難しいです。(It's Japanese, so it's a bit difficult.)"
222,二本,にほん,two (long objects),二本です。(It's two.),えんぴつが二本あります。(There are two pencils.),"えんぴつが二本ありますから、一本貸します。(There are two pencils, so I'll lend you one.)"
223,日本語,にほんご,Japanese language,日本語です。(It's Japanese.),日本語を勉強します。(I study Japanese.),"日本語を勉強しますから、毎日練習します。(I study Japanese, so I practice every day.)"
224,スペイン語,スペインご,Spanish language,スペイン語です。(It's Spanish.),スペイン語を話します。(I speak Spanish.),"スペイン語を話しますが、日本語のほうが上手です。(I speak Spanish, but I'm better at Japanese.)"
225,国 [?],くに,country,国です。(It's a country.),これは私の国です。(This is my country.),"これは私の国ですから、よく知っています。(This is my country, so I know it well.)"
226,外国人,がいこくじん,foreigner,外国人です。(I'm a foreigner.),外国人が多いです。(There are many foreigners.),"この町は外国人が多いですから、いろいろな言葉が聞こえます。(This town has many foreigners, so you hear various languages.)"
227,国へかえります,くにへかえります,to return to one's country,国へかえります。(I'll return to my country.),来月、国へかえります。(I'll return to my country next month.),"来月国へかえりますから、荷物を整理します。(I'll return to my country next month, so I'll organize my belongings.)"
228,多,た,many / much,多いです。(It's many.),種類が多いです。(There are many types.),"種類が多いですから、選ぶのに時間がかかります。(There are many types, so it takes time to choose.)"
229,多い人,おおいひと,many people,多い人です。(It's many people.),週末は多い人が来ます。(Many people come on weekends.),"週末は多い人が来ますから、早く並びましょう。(Many people come on weekends, so let's line up early.)"
230,午前 [?],ごぜん,morning / AM,午前です。(It's the morning.),午前九時に会います。(I'll meet at 9 AM.),"午前九時に会いますから、遅れないでください。(I'll meet at 9 AM, so please don't be late.)"
231,同,どう,same,同じです。(It's the same.),同じ意見です。(I have the same opinion.),"同じ意見ですから、一緒に話しましょう。(We have the same opinion, so let's talk together.)"
232,同じ国,おなじくに,the same country,同じ国です。(It's the same country.),私たちは同じ国から来ました。(We came from the same country.),"私たちは同じ国から来ましたから、友達になりました。(We came from the same country, so we became friends.)"
233,白,しろ,white,白です。(It's white.),白が好きです。(I like white.),"白が好きですから、白い服をよく買います。(I like white, so I often buy white clothes.)"
234,白いシャツ [?],しろいシャツ,white shirt,白いシャツです。(It's a white shirt.),白いシャツを着ます。(I wear a white shirt.),"白いシャツを着ますから、コーヒーを飲みません。(I'm wearing a white shirt, so I won't drink coffee.)"
235,物,もの,thing,物です。(It's a thing.),物があります。(There's a thing.),"好きな物がありますから、選んでください。(There's a thing I like, so please choose.)"
236,親しい物 [?],したしいもの,familiar thing,親しい物です。(It's a familiar thing.),親しい物が好きです。(I like familiar things.),"親しい物が好きですから、あまり新しい物を買いません。(I like familiar things, so I don't buy many new things.)"
237,くだ物,くだもの,fruit (果物),くだ物です。(It's fruit.),くだ物を食べます。(I eat fruit.),"くだ物を食べますから、健康にいいです。(I eat fruit, so it's good for my health.)"
238,大,だい,big / large,大です。(It's large.),大サイズです。(It's a large size.),"大サイズですから、二人で食べられます。(It's a large size, so two people can eat it.)"
239,大学,だいがく,university (dup. of #127),大学です。(It's a university.),大学生です。(I'm a university student.),"大学生ですから、来年卒業します。(I'm a university student, so I'll graduate next year.)"
240,大きい声 [?],おおきいこえ,loud voice,大きい声です。(It's a loud voice.),大きい声で話します。(I speak in a loud voice.),"大きい声で話しますから、後ろの人も聞こえます。(I speak in a loud voice, so people in the back can hear too.)"
241,大人,おとな,adult (dup. of #108),大人です。(I'm an adult.),大人になりました。(I became an adult.),"大人になりましたから、一人で電車に乗ります。(I became an adult, so I ride the train alone.)"
242,大使館 [?],たいしかん,embassy,大使館です。(It's the embassy.),大使館へ行きます。(I'll go to the embassy.),"大使館へ行きますから、パスポートを持っていきます。(I'll go to the embassy, so I'll bring my passport.)"
243,小,しょう,small,小です。(It's small.),小サイズです。(It's a small size.),"小サイズですから、一人で食べます。(It's a small size, so I'll eat it alone.)"
244,小学校,しょうがっこう,elementary school,小学校です。(It's an elementary school.),小学校に通います。(I attend elementary school.),"小学校に通いますから、毎朝バスに乗ります。(I attend elementary school, so I take the bus every morning.)"
245,小さい駅,ちいさいえき,small station,小さい駅です。(It's a small station.),小さい駅で降ります。(I get off at the small station.),"小さい駅で降りますから、乗り過ごさないでください。(I get off at the small station, so please don't miss it.)"
246,多,た,many (dup. of #228),多くです。(It's many.),多くの人がいます。(There are many people.),"多くの人がいますから、少し待ちましょう。(There are many people, so let's wait a bit.)"
247,車が多い,くるまがおおい,there are many cars,車が多いです。(There are many cars.),このへんは車が多いです。(There are many cars in this area.),"このへんは車が多いですから、気をつけてください。(There are many cars in this area, so please be careful.)"
248,多大 [?],ただい,great / immense,多大です。(It's immense.),多大な影響です。(It's a great influence.),"多大な影響がありますから、注意してください。(There's a great influence, so please be careful.)"
249,少,しょう,few / little,少しです。(It's a little.),少し待ちます。(I'll wait a little.),"少し待ちますから、先に行ってください。(I'll wait a little, so please go ahead.)"
250,人が少ない,ひとがすくない,there are few people,人が少ないです。(There are few people.),平日は人が少ないです。(There are few people on weekdays.),"平日は人が少ないですから、静かに買い物ができます。(There are few people on weekdays, so I can shop quietly.)"
251,時間が少しあります,じかんがすこしあります,there's a little time,時間が少しあります。(There's a little time.),まだ時間が少しあります。(There's still a little time.),"まだ時間が少しありますから、お茶を飲みましょう。(There's still a little time, so let's drink tea.)"
252,親,おや,parent,親です。(He's a parent.),親に感謝します。(I'm grateful to my parents.),"親に感謝しますから、電話をかけます。(I'm grateful to my parents, so I'll call them.)"
253,親切な人 [?],しんせつなひと,kind person,親切な人です。(He's a kind person.),親切な人に会いました。(I met a kind person.),"道に迷ったとき、親切な人に会いました。(When I was lost, I met a kind person.)"
254,古,こ / ふる,old,古いです。(It's old.),古い家です。(It's an old house.),"古い家ですが、とても静かです。(It's an old house, but it's very quiet.)"
255,古いパソコン,ふるいパソコン,old computer,古いパソコンです。(It's an old computer.),古いパソコンを使います。(I use an old computer.),"古いパソコンを使いますから、時々遅いです。(I use an old computer, so it's sometimes slow.)"
256,古本,ふるほん,used/old book,古本です。(It's a used book.),古本を買います。(I buy a used book.),"古本を買いますから、店でよく探します。(I buy used books, so I often search at the shop.)"
257,古里,ふるさと,hometown,古里です。(It's my hometown.),古里に帰ります。(I'll return to my hometown.),"古里に帰りますから、家族に会えます。(I'll return to my hometown, so I can meet my family.)"
258,高校 [?],こうこう,high school,高校です。(It's a high school.),高校に通います。(I attend high school.),"高校に通いますから、毎日電車に乗ります。(I attend high school, so I ride the train every day.)"
259,高,こう / たか,high / tall,高いです。(It's tall.),高い山です。(It's a tall mountain.),"高い山ですから、上るのに時間がかかります。(It's a tall mountain, so it takes time to climb.)"
260,高いビル,たかいビル,tall building,高いビルです。(It's a tall building.),高いビルが並んでいます。(Tall buildings are lined up.),"高いビルが並んでいますから、写真を撮ります。(Tall buildings are lined up, so I'll take a photo.)"
261,高校生 [?],こうこうせい,high school student,高校生です。(I'm a high school student.),高校生になりました。(I became a high school student.),"高校生になりましたから、部活動を始めます。(I became a high school student, so I'll start a club activity.)"
262,安,あん,cheap / peace,安いです。(It's cheap.),安全です。(It's safe.),"安全ですから、子供も使えます。(It's safe, so children can use it too.)"
263,安い車,やすいくるま,cheap car,安い車です。(It's a cheap car.),安い車を買いました。(I bought a cheap car.),"安い車を買いましたから、あまりお金を使いませんでした。(I bought a cheap car, so I didn't spend much money.)"
264,安全,あんぜん,safety,安全です。(It's safe.),安全に運転します。(I drive safely.),"安全に運転しますから、心配しないでください。(I drive safely, so please don't worry.)"
265,平安 [?],へいあん,peace,平安です。(It's peaceful.),平安な生活です。(It's a peaceful life.),"平安な生活ですから、毎日楽しいです。(It's a peaceful life, so every day is enjoyable.)"
266,長,ちょう,long / chief,長いです。(It's long.),部長です。(He's the department chief.),"部長ですから、みんな話を聞きます。(He's the department chief, so everyone listens to him.)"
267,校長 [?],こうちょう,school principal,校長です。(He's the principal.),校長先生です。(He's the school principal.),"校長先生ですから、学校でよく会います。(He's the school principal, so I see him often at school.)"
268,長い,ながい,long,長いです。(It's long.),髪が長いです。(The hair is long.),"髪が長いですから、切りに行きます。(My hair is long, so I'll go get it cut.)"
269,近,きん / ちか,near,近いです。(It's near.),近い将来です。(It's the near future.),"近い将来、この町に住むつもりです。(In the near future, I intend to live in this town.)"
270,近い店,ちかいみせ,nearby store,近い店です。(It's a nearby store.),近い店で買います。(I buy at a nearby store.),"近い店で買いますから、歩いて行きます。(I buy at a nearby store, so I go on foot.)"
271,近,ちか,near (dup. of #269),近くです。(It's nearby.),近くの公園で遊びます。(I play in the nearby park.),"近くの公園で遊びますから、すぐ帰れます。(I play in the nearby park, so I can come home quickly.)"
272,女子,じょし,girl (dup. of #122),女子です。(She's a girl.),女子会をします。(We'll have a girls' gathering.),"女子会をしますから、レストランを予約します。(We'll have a girls' gathering, so I'll reserve a restaurant.)"
273,大女子 [?],おおじょし,tall/big woman,大女子です。(She's a tall woman.),"大女子と呼ばれています。(She's called ""tall woman."")","大女子と呼ばれていますから、バスケットボールが上手です。(She's called ""tall woman,"" so she's good at basketball.)"
274,女子から [?],じょしから,from the girls,女子からです。(It's from the girls.),女子からメッセージが来ました。(A message came from the girls.),"女子からメッセージが来ましたから、すぐ返事します。(A message came from the girls, so I'll reply right away.)"
275,行,こう / い / ぎょう,go / line,行きます。(I go.),学校へ行きます。(I go to school.),"学校へ行きますから、朝ご飯を食べます。(I go to school, so I eat breakfast.)"
276,銀行,ぎんこう,bank,銀行です。(It's a bank.),銀行へ行きます。(I go to the bank.),"銀行へ行きますから、お金をおろします。(I go to the bank, so I'll withdraw money.)"
277,会社へ行きます,かいしゃへいきます,I go to the company,会社へ行きます。(I go to the company.),毎朝、会社へ行きます。(I go to the company every morning.),"毎朝会社へ行きますから、電車が混んでいます。(I go to the company every morning, so the train is crowded.)"
278,歩いて行く [?],あるいていく,to go on foot,歩いて行きます。(I'll go on foot.),駅まで歩いて行きます。(I'll walk to the station.),"天気がいいですから、駅まで歩いて行きます。(The weather is good, so I'll walk to the station.)"
279,来,らい / く,come,来ます。(I'll come.),来月です。(It's next month.),"来月来ますから、部屋を用意します。(He'll come next month, so I'll prepare a room.)"
280,来週,らいしゅう,next week (dup. of #25),来週です。(It's next week.),来週、会います。(I'll meet you next week.),"来週会いますから、今から楽しみです。(I'll meet you next week, so I'm already looking forward to it.)"
281,来ます,きます,to come,来ます。(I'll come.),友達が来ます。(A friend is coming.),"友達が来ますから、部屋を掃除します。(A friend is coming, so I'll clean the room.)"
282,帰,き,return,帰ります。(I return.),家に帰ります。(I return home.),"家に帰りますから、電気を消します。(I return home, so I'll turn off the lights.)"
283,帰国,きこく,returning to one's country,帰国します。(I'll return to my country.),来月、帰国します。(I'll return to my country next month.),"来月帰国しますから、切符を買います。(I'll return to my country next month, so I'll buy a ticket.)"
284,食,しょく,eat / food,食べます。(I eat.),朝食を食べます。(I eat breakfast.),"朝食を食べますから、七時に起きます。(I eat breakfast, so I wake up at seven.)"
285,食事をします,しょくじをします,to have a meal,食事をします。(I'll have a meal.),家族と食事をします。(I have a meal with family.),"家族と食事をしますから、早く帰ります。(I'll have a meal with family, so I'll go home early.)"
286,魚を食べます,さかなをたべます,I eat fish,魚を食べます。(I eat fish.),毎晩、魚を食べます。(I eat fish every night.),"毎晩魚を食べますから、健康です。(I eat fish every night, so I'm healthy.)"
287,食べ物,たべもの,food,食べ物です。(It's food.),好きな食べ物は何ですか。(What food do you like?),好きな食べ物は何ですか、教えてください。(What food do you like? Please tell me.)
288,飲,いん / の,drink,飲みます。(I drink.),水を飲みます。(I drink water.),"水を飲みますから、コップをください。(I'll drink water, so please give me a cup.)"
289,飲み物,のみもの,drink / beverage,飲み物です。(It's a drink.),好きな飲み物は何ですか。(What drink do you like?),好きな飲み物は何ですか、注文しましょう。(What drink do you like? Let's order.)
290,飲みます,のみます,to drink,コーヒーを飲みます。(I drink coffee.),毎朝、コーヒーを飲みます。(I drink coffee every morning.),"毎朝コーヒーを飲みますから、元気になります。(I drink coffee every morning, so I become energized.)"
291,買,ばい,buy,買います。(I'll buy it.),服を買います。(I buy clothes.),"服を買いますから、デパートへ行きます。(I'll buy clothes, so I'll go to the department store.)"
292,かばんを買います,かばんをかいます,I buy a bag,かばんを買います。(I buy a bag.),新しいかばんを買います。(I'll buy a new bag.),"新しいかばんを買いますから、お金を貯めます。(I'll buy a new bag, so I'll save money.)"
293,買い物,かいもの,shopping,買い物します。(I'll go shopping.),週末に買い物します。(I go shopping on weekends.),"週末に買い物しますから、リストを作ります。(I go shopping on weekends, so I'll make a list.)"
294,六,ろく,six (dup. of #51),六です。(It's six.),六個あります。(There are six pieces.),"六個ありますから、二個ずつ分けます。(There are six pieces, so I'll split them two each.)"
295,六才 [?],ろくさい,six years old,六才です。(I'm six years old.),弟は六才です。(My little brother is six years old.),"弟は六才ですから、まだ小学生ではありません。(My little brother is six years old, so he's not an elementary student yet.)"
296,国立,こくりつ,national (institution),国立です。(It's national.),国立大学です。(It's a national university.),"国立大学ですから、学費が安いです。(It's a national university, so tuition is cheap.)"
297,休,きゅう,rest,休みます。(I'll rest.),今日は休みです。(Today is a day off.),"今日は休みですから、家でゆっくりします。(Today is a day off, so I'll relax at home.)"
298,休む,やすむ,to rest,家で休みます。(I rest at home.),少し休みます。(I'll rest a little.),"疲れましたから、少し休みます。(I got tired, so I'll rest a little.)"
299,休日,きゅうじつ,holiday / day off,休日です。(It's a day off.),休日に旅行します。(I travel on holidays.),"休日に旅行しますから、荷物を準備します。(I travel on holidays, so I'll prepare my luggage.)"
300,言,げん / い,say / word,言います。(I say.),一言だけ言います。(I'll just say one word.),"一言だけ言いますから、聞いてください。(I'll just say one word, so please listen.)"
301,名前を言います,なまえをいいます,to say one's name,名前を言います。(I say my name.),大きな声で名前を言います。(I say my name in a loud voice.),"大きな声で名前を言いますから、みんな聞こえます。(I say my name in a loud voice, so everyone can hear.)"
302,言語 [?],げんご,language,言語です。(It's a language.),言語を学びます。(I learn a language.),"言語を学びますから、辞書を買いました。(I learn a language, so I bought a dictionary.)"
303,電話,でんわ,telephone,電話です。(It's a phone.),電話で話します。(I talk on the phone.),"電話で話しますから、静かな部屋を探します。(I'll talk on the phone, so I'll find a quiet room.)"
304,日本語を話します,にほんごをはなします,I speak Japanese,日本語を話します。(I speak Japanese.),少し日本語を話します。(I speak a little Japanese.),"少し日本語を話しますから、ゆっくり話してください。(I speak a little Japanese, so please speak slowly.)"
305,おもしろい話,おもしろいはなし,interesting story,おもしろい話です。(It's an interesting story.),おもしろい話を聞きました。(I heard an interesting story.),"おもしろい話を聞きましたから、友達にも話します。(I heard an interesting story, so I'll tell my friend too.)"
306,書,しょ,write / document,書きます。(I write.),手紙を書きます。(I write a letter.),"手紙を書きますから、切手をください。(I'll write a letter, so please give me a stamp.)"
307,教科書,きょうかしょ,textbook,教科書です。(It's a textbook.),教科書を読みます。(I read the textbook.),"教科書を読みますから、静かにしてください。(I'm reading the textbook, so please be quiet.)"
308,手紙を書きます,てがみをかきます,I write a letter (dup. of #91),手紙を書きます。(I write a letter.),友達に手紙を書きます。(I write a letter to my friend.),"友達に手紙を書きますから、今晩時間があります。(I'll write a letter to my friend, so I have time tonight.)"
309,読,どく,read,読みます。(I read.),本を読みます。(I read a book.),"本を読みますから、電気をつけます。(I'm reading a book, so I'll turn on the light.)"
310,読書,どくしょ,reading (books),読書です。(It's reading.),読書が好きです。(I like reading.),"読書が好きですから、よく図書館へ行きます。(I like reading, so I often go to the library.)"
311,本を読みます,ほんをよみます,I read a book (dup. of #218),本を読みます。(I read a book.),電車で本を読みます。(I read a book on the train.),"電車で本を読みますから、いつも早く駅に着きます。(I read a book on the train, so I always arrive at the station early.)"
312,聞,ぶん / き,hear / listen / ask,聞きます。(I listen.),音楽を聞きます。(I listen to music.),"音楽を聞きますから、ヘッドホンをつけます。(I listen to music, so I put on headphones.)"
313,新聞 [?],しんぶん,newspaper,新聞です。(It's a newspaper.),新聞を読みます。(I read the newspaper.),"新聞を読みますから、コーヒーを飲みます。(I read the newspaper, so I drink coffee.)"
314,ラジオを聞きます,ラジオをききます,I listen to the radio,ラジオを聞きます。(I listen to the radio.),車の中でラジオを聞きます。(I listen to the radio in the car.),"車の中でラジオを聞きますから、退屈しません。(I listen to the radio in the car, so I don't get bored.)"
315,見,けん / み,see / look,見ます。(I look.),映画を見ます。(I watch a movie.),"映画を見ますから、チケットを買います。(I'll watch a movie, so I'll buy a ticket.)"
316,見学,けんがく,study tour / field trip,見学します。(I'll take a tour.),工場を見学します。(I'll tour the factory.),"工場を見学しますから、朝早く集まります。(I'll tour the factory, so we'll gather early in the morning.)"
317,映画を見ます,えいがをみます,I watch a movie,映画を見ます。(I watch a movie.),週末に映画を見ます。(I watch a movie on the weekend.),"週末に映画を見ますから、今から予定を立てます。(I watch a movie on the weekend, so I'll make plans now.)"
318,入,にゅう,enter,入ります。(I enter.),部屋に入ります。(I enter the room.),"部屋に入りますから、ノックします。(I'll enter the room, so I'll knock.)"
319,入る,はいる,to enter,部屋に入ります。(I enter the room.),会社に入ります。(I'll join the company.),"来月会社に入りますから、今準備しています。(I'll join the company next month, so I'm preparing now.)"
320,入れる,いれる,to put in / insert,かばんに入れます。(I put it in the bag.),砂糖を入れます。(I add sugar.),"コーヒーに砂糖を入れますから、甘くなります。(I put sugar in the coffee, so it becomes sweet.)"
321,入口,いりぐち,entrance (dup. of #74),入口です。(It's the entrance.),入口で待ちます。(I'm waiting at the entrance.),"入口で待ちますから、迷わないでください。(I'll wait at the entrance, so please don't get lost.)"
322,出,しゅつ,exit / go out,出ます。(I go out.),家を出ます。(I leave home.),"家を出ますから、鍵をかけます。(I'll leave home, so I'll lock the door.)"
