Question,Answer,Marathi,Example,Mnemonic,AI Notes,Reference
What does 「に (time)」mean?,"At/on: marks a specific, numerical point in time when an action occurs.","मी सात वाजता उठतो — I wake up at 7 o'clock. (The time suffix ""ता"" (at) functions as a postposition, directly mirroring the Japanese temporal marker).","Easy: 七時に起きます。(しちじにおきます) — I wake up at 7 o'clock. (Why: The particle marks the specific numerical hour.)
Medium: 朝は六時半に家を出ます。(あさはろくじはんにいえをでます) — In the morning, I leave home at 6:30. (Why: The particle marks the exact temporal point of departure.)
Hard: 来週の日曜日に友達と海へ行きます。(らいしゅうのにちようびにともだちとうみへいきます) — Next week on Sunday, I will go to the sea with my friend. (Why: The particle marks the specific calendar day in a complex motion sentence.)","に pinpoints an exact dot on the clock — ""at THIS precise moment.""","Common mistake: adding に after relative time words like 今日/明日/毎日 (today, tomorrow, every day) —
those never take に (❌ 今日に行きます). Only specific/numbered times and days do (七時に, 月曜日に).",Topics.md G004
What does 「に (direction/target)」mean?,"To, toward, or at: indicates the destination of movement or the target/recipient of an action.","मी शाळेत जातो — I go to school. (The directional suffix ""त"" functions as a postposition, directly parallel to the Japanese movement marker).","Easy: 学校に行きます。(がっこうにいきます) — I go to school. (Why: The particle marks the target destination of the movement.)
Medium: 友達にプレゼントをあげました。(ともだちにプレゼントをあげました) — I gave a present to my friend. (Why: The particle marks the recipient of the active transaction.)
Hard: 部屋に入って、椅子に座ってください。(へやにはいって、いすにすわってください) — Please enter the room and sit on the chair. (Why: The particles mark the destination of entry and the physical target of contact respectively.)",に points like an arrow straight at a destination or at the person receiving something.,"Common mistake: mixing up this に (arrival point / target) with で (the place where an action itself
happens) — に is about WHERE you're headed or WHO receives something, not where the activity takes
place.",Topics.md G005
What does 「で (location of action)」mean?,"At, in: indicates the physical location where an active event or action takes place.","मी लायब्ररीमध्ये अभ्यास करतो — I study in the library. (The postposition ""मध्ये"" denotes the location of the action, showing structural parity with the Japanese event marker).","Easy: 図書館で勉強します。(としょかんでべんきょうします) — I study at the library. (Why: The particle marks the physical place where the active verb occurs.)
Medium: レストランで友達と晩ご飯を食べました。(レストランでともだちとばんごはんをたべました) — I ate dinner with my friend at a restaurant. (Why: The particle marks the restaurant as the active setting of the meal.)
Hard: 昨日は自分の部屋で日本語の手紙を書きました。(きのうはじぶんのへやでにほんごのてがみをかきました) — Yesterday, I wrote a Japanese letter in my room. (Why: The particle marks the private space as the location where the writing action occurred.)","で marks the ""stage"" where the action is actually being performed.","Common mistake: using に instead of で for action verbs (❌ 図書館に勉強します) — に is for
existence/destination (あります・います・行きます), while で is for verbs describing an activity
happening at a place.",Topics.md G006
What does 「で (means)」mean?,"By, with: indicates the tool, method, language, or means used to perform an action.","मी busने प्रवास करतो — I travel by bus. (The instrumental suffix ""ने"" indicates the means of transport, directly mirroring the Japanese tool marker).","Easy: バスで行きます。(バスでいきます) — I go by bus. (Why: The particle marks the vehicle as the means of transport.)
Medium: 日本語で話してください。(にほんごではなしてください) — Please speak in Japanese. (Why: The particle marks the language as the active medium of speech.)
Hard: 箸で美味しいご飯を食べましょう。(はしでおいしいごはんをたべましょう) — Let's eat delicious food with chopsticks. (Why: The particle marks the eating utensil as the physical tool of action.)","で as ""with/by"" — picture holding the tool (バス, 箸, 日本語) that carries you through the action.","Common mistake: not realizing this is the SAME で as ""location of action"" — one particle, two jobs
depending on whether it follows a place (where) or a tool/method/language (how).",Topics.md G007
What does 「と」mean?,"And, with: connects nouns in a complete list, or indicates a partner with whom an action is performed.","मी मित्रासोबत खेळतो — I play with my friend. (The associative postposition ""सोबत"" corresponds to the relational partner function of the Japanese particle).","Easy: 友達と会います。(ともだちとあいます) — I meet with my friend. (Why: The particle indicates the partner of the reciprocal action.)
Medium: 机の上に本とペンがあります。(つくえのうえにほんとペンがあります) — There are books and pens on the desk. (Why: The particle exhaustively connects two distinct objects.)
Hard: 来週の日曜日に家族と日本へ行きます。(らいしゅうのにちようびにかぞくとにほんへいきます) — Next week on Sunday, I will go to Japan with my family. (Why: The particle marks the family as the accompanying party of travel.)","と links two things together like a knot — ""A と B"" ties them into a pair.","Common mistake: using と for an incomplete list — と names an EXHAUSTIVE, complete list of exactly
the items given; for ""and other things,"" use や instead.",Topics.md G008
What does 「も」mean?,"Also, too: indicates that the marked item shares the same property as another, replacing the particles は or を.","मी पण भारतीय आहे — I am also Indian. (The word ""पण"" is the exact clitic for ""also"", showing a clear structural parallel with the Japanese additive marker).","Easy: 私も学生です。(わたしもがくせいです) — I am also a student. (Why: The particle replaces the topic marker to show shared identity.)
Medium: 日本語も英語も難しいです。(にほんごもえいごもむずかしいです) — Both Japanese and English are difficult. (Why: Using the particle twice creates a correlative structure meaning ""both... and..."".)
Hard: 鈴木さんは昨日来ませんでした。今日も来ないでしょう。(すずきさんはきのうきませんでした。きょうもこないでしょう) — Mr. Suzuki didn't come yesterday. He probably won't come today either. (Why: The particle highlights that today shares the same negative outcome as yesterday.)","も sounds like ""mo-re of the same"" — signals ""this one too.""","Common mistake: keeping は or を alongside も (❌ 私はも学生です) — も REPLACES は/が/を entirely, it
never stacks with them.",Topics.md G009
What does 「の (possessive)」mean?,"Possessive marker: links nouns to show ownership, relationship, or location.","हा माझ्या मित्राचा पेन आहे — This is my friend's pen. (The suffix ""चा"" represents the genitive/possessive marker, exactly matching the noun-linking structure of the Japanese particle).","Easy: これは私のペンです。(これはわたしのペンです) — This is my pen. (Why: The particle connects the possessor to the possessed item.)
Medium: あれは日本の自動車ですか。(あれはにほんのじどうしゃですか) — Is that a Japanese car? (Why: The particle connects the country of origin to the product noun.)
Hard: 駅の近くに大きい本屋があります。(えきのちかくにおおきいほんやがあります) — There is a large bookstore near the station. (Why: The first particle shows a spatial relationship between the train terminal and its vicinity.)","の glues two nouns together — ""A の B"" = ""A's B.""","Common mistake: not realizing の can chain multiple times in one phrase (駅の近くの本屋 = ""the
bookstore near the station"") — each の just links the next noun back to the previous one.",Topics.md G010
What does 「の (nominalizer)」mean?,Noun substitute: turns a verb phrase or adjective phrase into a noun clause.,मला गाणे गाणे आवडते — I like singing songs. (The nominalized gerund verb form functions like the Japanese grammatical nominalizer to express a preference for an action).,"Easy: 泳ぐのが好きです。(およぐのがすきです) — I like swimming. (Why: The particle converts the dictionary verb into a noun phrase compatible with direct description.)
Medium: 日本語を話すのは面白いです。(にほんごをはなすのはおもしろいです) — Speaking Japanese is interesting. (Why: The particle turns the action phrase into the main topic of evaluation.)
Hard: 朝早く起きるのは体にいいです。(あさはやくおきるのはからだにいいです) — Waking up early in the morning is good for the body. (Why: The particle nominalizes the complex verb clause to assess its physical benefit.)","の here works like English ""-ing"" — turning an action into a ""thing"" you can talk about (泳ぐ = swim
→ 泳ぐの = swimming, the activity).","Common mistake: confusing this の with the possessive の from card 10 — context tells them apart:
after a FULL verb/adjective clause (泳ぐの), it's the nominalizer; directly between two nouns (私の
本), it's possessive.",Topics.md G011
What does 「へ」mean?,"Toward: indicates the direction of movement toward a destination (pronounced ""e"").","मी पुण्याच्या दिशेने निघालो — I headed in the direction of Pune. (The postpositional phrase ""च्या दिशेने"" emphasizes the direction of journey, matching the primary function of the Japanese particle).","Easy: 日本へ行きます。(にほんへいきます) — I am going to Japan. (Why: The particle emphasizes the direction of travel toward the country.)
Medium: 毎朝駅へ歩いて行きます。(まいあさえきへあるいていきます) — Every morning I walk toward the station. (Why: The particle marks the spatial target of the pedestrian action.)
Hard: 友達は国へ帰って、お母さんに会います。(ともだちはくにへかえって、おかあさんにあいます) — My friend will return to their country and meet their mother. (Why: The particle indicates the physical homeland direction of departure in a multi-clause sentence.)","へ (pronounced ""e"") points like an arrow toward a broad direction — a journey, not a pinpoint.","Common mistake: assuming へ and に (direction) are never interchangeable — for simple destination
movement verbs (行きます・来ます・帰ります) they're often interchangeable at N5 level; へ leans toward
the direction/journey, に leans toward the precise arrival point.",Topics.md G012
What does 「や」mean?,"And: links nouns to form an incomplete, non-exhaustive list, implying ""and other things.""","मी सफरचंद आणि इतर फळे आणली — I brought apples and other fruits. (The concept of indicating representative items while implying others is expressed structurally, mirroring the Japanese listing particle).","Easy: りんごやバナナを買いました。(りんごやバナナをかいました) — I bought apples and bananas (among other things). (Why: The particle implies that other items were purchased alongside the named fruits.)
Medium: カバンの中に本やペンなどがあります。(カバンのなかにほんやペンなどがあります) — There are things like books and pens in the bag. (Why: The particle is paired with another term to form a classic non-exhaustive collection.)
Hard: デパートでシャツや靴を買いたいです。(デパートでシャツやくつをかいたいです) — I want to buy shirts, shoes, and other things at the department store. (Why: The particle coordinates a representative list of targeted items of desire.)","や leaves the list ""open"" — like saying ""apples, bananas, and stuff like that.""","Common mistake: reaching for や when the list actually IS complete — use と for a closed, exhaustive
list. や is often paired with など (""etc."") to make the open-endedness extra clear.",Topics.md G013
What does 「から」mean?,"From: indicates the starting point in time, space, or a source.","मी घरून निघालो — I started from home. (The ablative suffix ""ून"" indicates the point of origin, showing absolute equivalence with the Japanese starting marker).","Easy: 九時から勉強します。(くじからべんきょうします) — I study from 9 o'clock. (Why: The particle marks the chronological starting point.)
Medium: ここから駅まで歩いて十分です。(ここからえきまであるいてじっぷんです) — It takes ten minutes to walk from here to the station. (Why: The particle marks the physical point of departure.)
Hard: 友達から面白い辞書をもらいました。(ともだちからおもしろいじしょをもらいました) — I received an interesting dictionary from my friend. (Why: The particle marks the personal source from whom the item was obtained.)","から = ""from"" — like a starting gun firing ""kara!"" at the start line of a race.","Common mistake: confusing this から (starting point) with the OTHER から that means ""because"" — same
word, two different jobs: after a noun/time it's ""from,"" after a full clause (usually ending in
です/ます) it's ""because.""",Topics.md G014
What does 「まで」mean?,"Until, to: indicates the ending point in time, space, or a physical limit.","मी पाच वाजेपर्यंत थांबेन — I will wait until 5 o'clock. (The temporal postposition ""पर्यंत"" perfectly matches the boundary limit function of the Japanese particle).","Easy: 五時まで働きます。(ごじまではたらきます) — I will work until 5 o'clock. (Why: The particle marks the chronological endpoint of labor.)
Medium: 東京駅から大阪駅まで何時間かかりますか。(とうきょうえきからおおさかえきまでなんじかんかかりますか) — How many hours does it take from Tokyo Station to Osaka Station? (Why: The particle indicates the physical terminus of the route.)
Hard: 晩ご飯の時間はいつも八時までです。(ばんごはんのじかんはいつもはちじまでです) — Dinner time is always up until 8 o'clock. (Why: The particle defines the absolute temporal boundary of the meal.)","まで pairs naturally with から: ""から...まで"" = ""from...to,"" the two bookends of a range.","Common mistake: using plain まで when meaning a strict deadline (""by"") — for a hard deadline, までに
is used instead of plain まで (a finer nuance beyond N5, but worth flagging early to avoid confusion).",Topics.md G015
What does 「か」mean?,Question particle: placed at the end of a clause to turn a statement into a question or represent alternatives.,"तू आज जाणार आहेस का? — Are you going today? (The polar question clitic ""का"" is appended sentence-finally, mirroring the structural mechanics of the Japanese interrogative particle).","Easy: あなたは学生ですか。(あなたはがくせいですか) — Are you a student? (Why: The particle turns the basic polite nominal sentence into a direct question.)
Medium: コーヒーかお茶を飲みましょう。(コーヒーかおちゃをのみましょう) — Let's drink coffee or tea. (Why: The particle connects two nouns to offer them as distinct options.)
Hard: 来週の月曜日にテストがあるかどうか分かりません。(らいしゅうのげつようびにテストがあるかどうかわかりません) — I don't know whether there is a test next Monday or not. (Why: The particle forms a double interrogative pattern to represent uncertainty.)",か curls up like a little question-mark hook at the very end of the sentence.,"Common mistake: adding a written ""?"" on top of か — か alone does the job in Japanese (the question
mark is optional/informal). Also remember か between two nouns (AかB) means ""A or B"" — a second
common function worth keeping straight from the sentence-ending one.",Topics.md G016
What does 「~ませんか」mean?,Won't you...? / Would you like to...? (a polite invitation).,तू माझ्यासोबत चहा पिणार नाहीस का? — Won't you drink tea with me?. Both languages politely invite someone using a negative verb question at the terminal sentence position.,"Easy: 一緒に京都へ行きませんか。 (いっしょにきょうとへいきませんか) — Won't you go to Kyoto with me? (Why: Formed by changing the ます form verb to ませんか to make a polite invitation.)
Medium: 今日、一緒に昼ご飯を食べませんか。 (きょう、いっしょにひるごはんをたべませんか) — Would you like to eat lunch together today? (Why: Time adverb and object are added before the invitation verb.)
Hard: 日曜日に図書館で一緒に勉強しませんか。 (にちようびにとしょかんでいっしょにべんきょうしませんか) — Won't you study together with me at the library on Sunday? (Why: Combines a specific day, place of action, and compound verb for a complex invitation.)","ませんか = ません (won't) + か (question) — literally ""won't you...?"" — a gentle, indirect invite made
by asking the negative.","Common mistake: confusing ませんか (inviting: ""won't you join me?"") with ましょうか (offering: ""shall I
do this for you?""). ませんか invites the listener to do something WITH you; ましょうか offers to do
something FOR them.",Analysis checklist #50 (jlpt_n5_flashcard_checklist.md)
What does 「~ましょう」mean?,Let's (do something) (used to enthusiastically suggest or agree to a joint action).,"आपण अभ्यास करूया! — Let's study!. The Marathi suffix ""-ऊया"" (-uya) attached to the verb stem is the exact functional equivalent of the Japanese ""~ましょう"" to express collective intent.","Easy: 休みましょう。 (やすみましょう) — Let's take a break. (Why: Volitional polite form 〜ましょう replaces 〜ます to propose a shared action.)
Medium: 駅で友達に会いましょう。 (えきでともだちにあいましょう) — Let's meet our friend at the station. (Why: Introduces place particle で and target particle に with the volitional verb.)
Hard: 宿題が終わりましたから、一緒に帰りましょう。 (しゅくだいがおわりましたから、いっしょにかえりましょう) — Since homework is finished, let's go home together. (Why: Includes a reason clause ending in から followed by the team suggestion.)","ましょう sounds like ""let's-show"" — as in, ""let's show up and do it together!""","Common mistake: using ましょう to state your own solo plan (that's たいです or つもりです instead) —
ましょう specifically proposes a SHARED action, implying ""you too, let's.""",Analysis checklist #51 (jlpt_n5_flashcard_checklist.md)
What does 「~ましょうか」mean?,Shall I / Shall we? (used to offer help or suggest an action to see if the other person agrees).,"मी तुला मदत करू का? — Shall I help you?. Adding the question particle ""का"" to the Marathi volitional verb form mirrors how ""か"" turns the joint suggestion ""~ましょう"" into a cooperative offer.","Easy: 窓を開けましょうか。 (まどをあけましょうか) — Shall I open the window? (Why: Verb stem + ましょうか offers a helpful action to the listener.)
Medium: 重い荷物を持ちましょうか。 (おもいにもつをもちましょうか) — Shall I carry your heavy baggage? (Why: Tests the helper usage with a modified noun object.)
Hard: 暑いですから、エアコンをつけましょうか。 (あついですから、エアコンをつけましょうか) — Since it is hot, shall I turn on the air conditioner? (Why: Joins an adjective-based reason clause with a polite offer of assistance.)","Same ましょう (let's) + か (question) = ""shall we...?"" — but in practice it's usually ""shall I do this
for you?""","Common mistake: mixing up ましょうか (offering help) with ませんか (inviting company) — ましょうか
centers on the SPEAKER doing something for the listener, not both doing something together.",Analysis checklist #52 (jlpt_n5_flashcard_checklist.md)
What does 「~てください」mean?,Please do (a polite request or mild instruction).,कृपया येथे बसा. — Please sit here. Both languages place the polite request marker at the very end of the verb terminal position in their SOV syntax.,"Easy: ここに書いてください。 (ここにかいてください) — Please write here. (Why: Combines the verb's て-form with ください to formulate a polite instruction.)
Medium: この漢字を読んでください。 (このかんじをよんでください) — Please read this kanji. (Why: Applies a demonstrative adjective and direct object before the request verb.)
Hard: 辞書を使ってもいいですから、この紙に名前を書いてください。 (じしょをつかってもいいですから、このかみになまえをかいてください) — Since you may use a dictionary, please write your name on this paper. (Why: Chains a permission clause as a reason to a final polite instruction.)","て-form + ください (""please give me"") — literally asking someone to ""give"" you the action.","Common mistake: attaching ください straight onto the dictionary form (❌ 書くください) — it must follow
the て-form (書いてください). Also note てください is a fairly direct request; it's fine for
teachers/service contexts but can sound blunt to a superior in more formal settings.",Analysis checklist #53 (jlpt_n5_flashcard_checklist.md)
What does 「~ないでください」mean?,Please don't (do something) (a polite request not to perform an action).,"कृपया काळजी करू नका. — Please do not worry. The Marathi prohibitive ""नका"" (naka) placed after the verb stem directly mirrors the terminal position of ""~ないでください"".","Easy: 写真を撮らないでください。 (しゃしんをとらないでください) — Please don't take photos. (Why: Formed by taking the negative ない-form of the verb and attaching でください.)
Medium: 私を忘れないでください。 (わたしをわすれないでください) — Please do not forget me. (Why: Uses the direct object marker を with the negative polite request verb.)
Hard: ここは図書館ですから、大きな声で話さないでください。 (ここはとしょかんですから、おおきなこえではなさないでください) — Since this is a library, please do not speak in a loud voice. (Why: Integrates a copula reason clause with a negative request modified by an adverbial phrase.)","ない (not) + でください (please) — ""please, in the state of not doing this.""","Common mistake: attaching ないでください to the ます-form (❌ 撮りますないでください) — it always follows
the plain ない-form of the verb (撮る → 撮らない → 撮らないでください).",Analysis checklist #54 (jlpt_n5_flashcard_checklist.md)
What does 「~前に」mean?,Before doing a verb (dictionary form + 前に) or before a noun (noun + の前に).,जेवण्यापूर्वी हात धुवा — Wash hands before eating. The Japanese verb dictionary form + 前に (mae ni) structurally parallels the Marathi verbal suffix '-ण्यापूर्वी' (nyapurvi).,"Easy: 寝る前に本を読みます。(ねる まえに ほんを よみます。) — I read a book before sleeping. (Why: The dictionary verb 寝る is attached to 前に to mark the prior event.)
Medium: 食事の前に手を洗ってください。(しょくじの まえに てを あらってください。) — Please wash your hands before meals. (Why: Shows noun + の前に pattern combined with a polite request.)
Hard: 日本へ来る前に日本語を勉強しました。(にほんへ くる まえに にほんごを べんきょうしました。) — I studied Japanese before coming to Japan. (Why: Expresses a past action done prior to a destination-based motion verb.)","前 means ""front/before"" — literally ""in front of [the verb happening].""","Common mistake: using the past-tense verb before 前に (❌ 寝た前に) — 前に always takes the DICTIONARY
form of the verb, even inside an otherwise past-tense sentence, since 前に itself expresses ""before,""
not tense.",Analysis checklist #56 (jlpt_n5_flashcard_checklist.md)
What does 「~後で」mean?,After doing a verb (past plain た-form + 後で) or after a noun (noun + の後で).,जेवल्यानंतर औषध घ्या — Take medicine after eating. The past tense verb + 後で (ato de) structurally aligns with the Marathi verb participle ending in '-ल्यानंतर' (lyananatar).,"Easy: ご飯を食べた後で薬を飲みます。(ごはんを たべた あとで くすりを のみます。) — I take medicine after eating a meal. (Why: The past plain た-form of 食べる is connected to 後で.)
Medium: 仕事の後で飲みに行きましょう。(しごとの あとで のみに いきましょう。) — Let's go for a drink after work. (Why: Demonstrates noun + の後で linked with a cooperative volitional invitation.)
Hard: 映画を見た後で友達とお茶を飲みました。(えいがを みた あとで ともだちと おちゃを のみました。) — After watching the movie, I drank tea with my friend. (Why: Integrates past action sequence with particle と for companion action.)","後 means ""after/behind,"" で adds ""at that point"" — ""at the point after [X].""","Common mistake: using the dictionary form before 後で (❌ 食べる後で) — unlike 前に, 後で requires the
PAST-plain (た-form) of the verb, since the first action must already be completed.",Analysis checklist #57 (jlpt_n5_flashcard_checklist.md)
What does 「~とき」mean?,When... / At the time of... (used to connect two clauses indicating time of occurrence).,"मी लहान असताना खेळायचो — When I was a child, I used to play. The Japanese noun/verb modification before とき (toki) directly matches the Marathi clause-ending '-तेव्हा' (tevha) or 'वेळी' (veli).","Easy: 暇なときテレビを見ます。(ひまな とき てれびを みます。) — I watch TV when I am free. (Why: Shows a な-adjective modifying とき directly.)
Medium: 図書館で本を借りるときカードが要ります。(としょかんで ほんを かりるとき かーどが いります。) — You need a card when borrowing books from the library. (Why: Uses verb dictionary form to define a situational requirement clause.)
Hard: 子どものときよく川で泳ぎました。(こどもの とき よく かわで およぎました。) — When I was a child, I swam in the river often. (Why: Illustrates noun + のとき with a past frequency narrative.)","とき literally means ""time"" — ""verb/adjective + とき"" = ""at the time when [X].""","Common mistake: mismatching tense inside the とき clause — the verb's tense before とき matters:
食べるとき = ""when [about to] eat,"" 食べたとき = ""when [already] ate/after eating."" Mixing these up is
a very common N5 slip.",Analysis checklist #58 (jlpt_n5_flashcard_checklist.md)
"What does 「~から (because, conjunction)」mean?",Because / Since (placed at the end of the reason clause to explain cause and effect).,"पाऊस पडत आहे म्हणून मी जाणार नाही — It is raining, so I will not go. The Japanese reason clause ending in から (kara) maps closely to the Marathi logical connector 'म्हणून' (mhanun).","Easy: 暑いから窓を開けます。(あついから まどを あけます。) — I will open the window because it is hot. (Why: Connects a simple い-adjective description as the cause.)
Medium: 時間がありませんからタクシーで行きます。(じかんが ありませんから たくしーで いきます。) — I will go by taxi because I do not have time. (Why: Uses a polite negative verb phrase as the reason before a means of transport.)
Hard: 明日試験がありますから今晩勉強しなければなりません。(あした しけんが ありますから こんばん べんきょう しなければ なりません。) — Because I have an exam tomorrow, I must study tonight. (Why: Links an existential reason with a high-level obligation construct.)","から attaches right after the reason, like a signpost saying ""because of THIS.""","Common mistake: confusing this から (reason) with the OTHER から meaning ""from"" (starting point) —
after a full clause (usually ending です/ます) it means ""because""; after a noun/time, it means ""from.""",Analysis checklist #59 (jlpt_n5_flashcard_checklist.md)
What does 「一つ、二つ…」mean?,"The universal, native Japanese counter system used for counting general 3D items from one to ten.","मला एक आंबा द्या — Give me one mango. Unlike Marathi which uses cardinal numbers directly, Japanese requires native numerical counters for physical items.","Easy: りんごを一つください。(りんごを ひとつ ください。) — One apple, please. (Why: Demonstrates standard general counter placement following the noun.)
Medium: みかんを三つと卵を四つ買いました。(みかんを みっつと たまごを よっつ かいました。) — I bought three mandarins and four eggs. (Why: Coordinates multiple general counts using linking particles.)
Hard: このテーブルに椅子がいくつありますか。(この てーぶるに いすが いくつ ありますか。) — How many chairs are there at this table? (Why: Tests the interrogative counterpart 'いくつ' in an existential setting.)","The つ-counter series follows the old native number rhythm (ひとつ、ふたつ、みっつ、よっつ…) — sing it
like a nursery-rhyme count, since it only goes up to とお (10).","Common mistake: trying to use the regular numbers (いち、に、さん) directly with つ (❌ いちつ) — the
つ-counter series has its own irregular readings that must be memorized separately from standard
number readings.",Analysis checklist #60 (jlpt_n5_flashcard_checklist.md)
What does 「人 counter (~人)」mean?,"The counter suffix used for counting people (notably 1 person is ひとり, 2 people is ふたり, and 3+ is ~にん).",वर्गात पाच विद्यार्थी आहेत — There are five students in the classroom. The counter suffix 人 (~nin) acts like a noun classifier following the number.,"Easy: 教室に学生が五人います。(きょうしつに がくせいが ごにん います。) — There are five students in the classroom. (Why: Displays people counter placement in an existential sentence with います.)
Medium: 私の家族は三人です。(わたしの かぞくは さんにん です。) — There are three people in my family. (Why: Defines a collective count using the polite copula.)
Hard: 昨日一人で映画館へ行きました。(きのう ひとりで えいがかんへ いきました。) — I went to the movie theater alone yesterday. (Why: Shows the irregular single person counter form '一人で' acting adverbially.)","1 and 2 are special (ひとり, ふたり); everything from 3 onward just adds にん (さんにん, よにん…) —
""the first two break the rule, the rest follow it.""","Common mistake: saying いちにん/ににん for 1/2 people instead of the irregular ひとり/ふたり — these two
exceptions are among the most tested N5 counter forms.",Analysis checklist #61 (jlpt_n5_flashcard_checklist.md)
What does 「匹/頭 counter (animals)」mean?,"Counters for animals: ~匹 (ひき) is for small animals/fish/insects, while ~頭 (とう) is for large animals like cows/horses.",माझ्याकडे दोन कुत्रे आहेत — I have two dogs. Japanese distinguishes counts based on animal size using distinct suffixes.,"Easy: 犬が一匹います。(いぬが いっぴき います。) — There is one dog. (Why: Shows animal counter with phonetic change 'いっぴき' for one small animal.)
Medium: 池に魚が三匹泳いでいます。(いけに さかなが さんびき およいでいます。) — Three fish are swimming in the pond. (Why: Illustrates plural small animal counts with progressive verb action.)
Hard: あの動物園にはゾウが二頭います。(あの どうぶつえんには ぞうが にとう います。) — There are two elephants in that zoo. (Why: Tests the large animal counter '頭' for elephants.)","匹 (small, scurrying — ""hiki"") vs 頭 (big — ""tou,"" think ""tall,"" for elephants and cows).","Common mistake: forgetting 匹's irregular sound shifts with certain numbers (一匹=いっぴき, 三匹=さんびき,
六匹=ろっぴき) — these gemination/rendaku changes don't follow a simple rule and need direct
memorization per number.",Analysis checklist #62 (jlpt_n5_flashcard_checklist.md)
What does 「枚 counter (flat objects)」mean?,"The counter suffix ~枚 (まい) used for thin, flat objects like paper, plates, stamps, or shirts.","दोन तिकीट द्या — Give two tickets. Japanese groups flat, two-dimensional items under the classifier suffix.","Easy: 切手を二枚買いました。(きってを にまい かいました。) — I bought two stamps. (Why: Basic usage of flat object counter with the object marker を.)
Medium: お皿を五枚洗ってください。(おさらを ごまい あらってください。) — Please wash five plates. (Why: Combines a flat domestic object with a polite verb request.)
Hard: シャツが何枚ありますか。(しゃつが なんまい ありますか。) — How many shirts do you have? (Why: Formulates a question about flat items using '何枚'.)","枚 (まい) is for anything flat, like a ""sheet"" — paper, plates, stamps, shirts.","Common mistake: reaching for つ or 個 for flat objects instead of 枚 — flatness is the deciding factor,
which is why even a (not-so-thin) plate still takes 枚 rather than a generic counter.",Analysis checklist #63 (jlpt_n5_flashcard_checklist.md)
What does 「ぐらい/くらい」mean?,"Approximately / About (placed immediately after quantities, numbers, or time periods).",मी येथे दोन तास थांबलो — I stayed here for about two hours. The post-positional 'ぐらい' (gurai) matches Marathi approximate indicators placed near counts.,"Easy: 三十万円ぐらいのパソコンを買いました。(さんじゅうまんえん ぐらいの ぱそこんを かいました。) — I bought a computer worth about 300,000 yen. (Why: Connects approximate price to a noun using の.)
Medium: 毎日一時間半くらい走ります。(まいにち いちじかんはん くらい はしります。) — I run for about one and a half hours every day. (Why: Expresses approximate temporal duration with an active verb.)
Hard: うちから駅まで歩いて十分ぐらいかかります。(うちから えきまで あるいて じゅっぷん ぐらい かかります。) — It takes about ten minutes to walk from my home to the station. (Why: Integrates space boundaries, means, and approximate transit time.)","ぐらい softens a number like adding ""-ish"" in English — ""10分ぐらい"" = ""10 minutes-ish.""","Common mistake: using ごろ instead of ぐらい/くらい — ごろ is for an approximate POINT in time (7時ごろ
= ""around 7 o'clock""), while ぐらい/くらい is for an approximate AMOUNT or DURATION (7時間ぐらい =
""about 7 hours""). Mixing these two up is a classic N5 error.",Analysis checklist #64 (jlpt_n5_flashcard_checklist.md)
What does 「だけ」mean?,Only / Just (placed after nouns or counts to specify exclusivity in affirmative sentences).,"मी फक्त पाणी पिणार — I will drink only water. Both systems place focus on the limited noun, though Marathi 'फक्त' typically precedes while 'だけ' follows the noun.","Easy: 水だけ飲みます。(みずだけ のみます。) — I drink only water. (Why: Emphasizes a singular noun choice in the affirmative.)
Medium: 五分だけ待ってください。(ごふんだけ まってください。) — Please wait for just five minutes. (Why: Restricts a request to a small, specific time limit.)
Hard: 私はひらがなだけ書くことができます。(わたしは ひらがなだけ かく ことができます。) — I can write only hiragana. (Why: Combines the restrictive marker with the dictionary potential pattern.)","だけ sits right after the thing being limited, like slapping an ""only-this"" sticker on it.","Common mistake: confusing だけ (only — neutral, works fine in affirmative sentences) with しか~ない
(only — implies ""sadly just this much,"" always needs a negative verb). だけ doesn't require
negation; しか does.",Analysis checklist #65 (jlpt_n5_flashcard_checklist.md)
What does 「しか~ない」mean?,Only / Nothing but (requires a negative verb at the end; implies the limit is disappointingly small).,माझ्याकडे फक्त दहा रुपये आहेत (माझ्याकडे दहा रुपयांशिवाय काही नाही) — I have nothing but ten rupees. The negative ending matches the Marathi restrictive-negative construct.,"Easy: 財布に千円しかありません。(さいふに せんえんしか ありません。) — I have only 1,000 yen in my wallet. (Why: Restricts existence to a low count using a negative verb.)
Medium: ひらがなしか書けません。(ひらがなしか かけません。) — I can write nothing but hiragana. (Why: Shows limitation paired with a potential verb ending in the negative.)
Hard: 日曜日しか休むことができません。(にちようびしか やすむ ことが できません。) — I can only rest on Sundays. (Why: Couples the strict limitation particle with a negated capability phrase.)",しか always needs its negative partner ない — think of them as a matched pair that can never separate.,"Common mistake: forgetting the mandatory negative ending — しか literally cannot appear in an
affirmative sentence (❌ 千円しかあります); it must always end negative (千円しかありません), even
though the overall feel of the sentence isn't really ""negative"" in tone.",Analysis checklist #66 (jlpt_n5_flashcard_checklist.md)
